"clistingid","ilanguageid","csku","icategory","ccreateuser","dcreatedate"
"97ca5768-d8c9-1004-8a97-438cca05a146",null,"W014","77",null,"2015-02-07 00:00:00"
"97ca5768-d8c9-1004-8a97-438cca05a146",null,"W014","78",null,"2015-02-07 00:00:00"
"97cb41c8-d8c9-1004-8a97-438cca05a146",null,"W013","77",null,"2015-02-07 00:00:00"
"97cb41c8-d8c9-1004-8a97-438cca05a146",null,"W013","78",null,"2015-02-07 00:00:00"
"97cc2c28-d8c9-1004-8a97-438cca05a146",null,"W012","77",null,"2015-02-07 00:00:00"
"97cc2c28-d8c9-1004-8a97-438cca05a146",null,"W012","78",null,"2015-02-07 00:00:00"
"97cd8bb8-d8c9-1004-8a97-438cca05a146",null,"W011","77",null,"2015-02-07 00:00:00"
"97cd8bb8-d8c9-1004-8a97-438cca05a146",null,"W011","78",null,"2015-02-07 00:00:00"
"97ceeb48-d8c9-1004-8a97-438cca05a146",null,"W010","77",null,"2015-02-07 00:00:00"
"97ceeb48-d8c9-1004-8a97-438cca05a146",null,"W010","78",null,"2015-02-07 00:00:00"
"97cfd5a8-d8c9-1004-8a97-438cca05a146",null,"W009","77",null,"2015-02-07 00:00:00"
"97cfd5a8-d8c9-1004-8a97-438cca05a146",null,"W009","78",null,"2015-02-07 00:00:00"
"97d098f8-d8c9-1004-8a97-438cca05a146",null,"W008","77",null,"2015-02-07 00:00:00"
"97d098f8-d8c9-1004-8a97-438cca05a146",null,"W008","78",null,"2015-02-07 00:00:00"
"97d18358-d8c9-1004-8a97-438cca05a146",null,"W007","77",null,"2015-02-07 00:00:00"
"97d18358-d8c9-1004-8a97-438cca05a146",null,"W007","78",null,"2015-02-07 00:00:00"
"97d246a8-d8c9-1004-8a97-438cca05a146",null,"W006","77",null,"2015-02-07 00:00:00"
"97d246a8-d8c9-1004-8a97-438cca05a146",null,"W006","78",null,"2015-02-07 00:00:00"
"97d33108-d8c9-1004-8a97-438cca05a146",null,"W005","77",null,"2015-02-07 00:00:00"
"97d33108-d8c9-1004-8a97-438cca05a146",null,"W005","78",null,"2015-02-07 00:00:00"
"97d41b68-d8c9-1004-8a97-438cca05a146",null,"W004","77",null,"2015-02-07 00:00:00"
"97d41b68-d8c9-1004-8a97-438cca05a146",null,"W004","78",null,"2015-02-07 00:00:00"
"97d52cd8-d8c9-1004-8a97-438cca05a146",null,"W003","77",null,"2015-02-07 00:00:00"
"97d52cd8-d8c9-1004-8a97-438cca05a146",null,"W003","78",null,"2015-02-07 00:00:00"
"97d63e48-d8c9-1004-8a97-438cca05a146",null,"W002","77",null,"2015-02-07 00:00:00"
"97d63e48-d8c9-1004-8a97-438cca05a146",null,"W002","78",null,"2015-02-07 00:00:00"
"97d7501c-d8c9-1004-8a97-438cca05a146",null,"W001","77",null,"2015-02-07 00:00:00"
"97d7501c-d8c9-1004-8a97-438cca05a146",null,"W001","78",null,"2015-02-07 00:00:00"
"97d8889c-d8c9-1004-8a97-438cca05a146",null,"H1677","77",null,"2015-02-07 00:00:00"
"97d8889c-d8c9-1004-8a97-438cca05a146",null,"H1677","79",null,"2015-02-07 00:00:00"
"97d8889c-d8c9-1004-8a97-438cca05a146",null,"H1677","283",null,"2015-02-07 00:00:00"
"97d94bec-d8c9-1004-8a97-438cca05a146",null,"H1590","77",null,"2015-02-07 00:00:00"
"97d94bec-d8c9-1004-8a97-438cca05a146",null,"H1590","79",null,"2015-02-07 00:00:00"
"97d94bec-d8c9-1004-8a97-438cca05a146",null,"H1590","285",null,"2015-02-07 00:00:00"
"97da364c-d8c9-1004-8a97-438cca05a146",null,"H1467","77",null,"2015-02-07 00:00:00"
"97da364c-d8c9-1004-8a97-438cca05a146",null,"H1467","79",null,"2015-02-07 00:00:00"
"97da364c-d8c9-1004-8a97-438cca05a146",null,"H1467","285",null,"2015-02-07 00:00:00"
"97db6ecc-d8c9-1004-8a97-438cca05a146",null,"H1466","77",null,"2015-02-07 00:00:00"
"97db6ecc-d8c9-1004-8a97-438cca05a146",null,"H1466","79",null,"2015-02-07 00:00:00"
"97db6ecc-d8c9-1004-8a97-438cca05a146",null,"H1466","285",null,"2015-02-07 00:00:00"
"97dcce5c-d8c9-1004-8a97-438cca05a146",null,"H1465","77",null,"2015-02-07 00:00:00"
"97dcce5c-d8c9-1004-8a97-438cca05a146",null,"H1465","79",null,"2015-02-07 00:00:00"
"97dcce5c-d8c9-1004-8a97-438cca05a146",null,"H1465","285",null,"2015-02-07 00:00:00"
"97dddfcc-d8c9-1004-8a97-438cca05a146",null,"H1464","77",null,"2015-02-07 00:00:00"
"97dddfcc-d8c9-1004-8a97-438cca05a146",null,"H1464","79",null,"2015-02-07 00:00:00"
"97df3f5c-d8c9-1004-8a97-438cca05a146",null,"H1463","77",null,"2015-02-07 00:00:00"
"97df3f5c-d8c9-1004-8a97-438cca05a146",null,"H1463","79",null,"2015-02-07 00:00:00"
"97e002ac-d8c9-1004-8a97-438cca05a146",null,"H1462","77",null,"2015-02-07 00:00:00"
"97e002ac-d8c9-1004-8a97-438cca05a146",null,"H1462","79",null,"2015-02-07 00:00:00"
"97e002ac-d8c9-1004-8a97-438cca05a146",null,"H1462","285",null,"2015-02-07 00:00:00"
"97e13b2c-d8c9-1004-8a97-438cca05a146",null,"H1461","77",null,"2015-02-07 00:00:00"
"97e13b2c-d8c9-1004-8a97-438cca05a146",null,"H1461","79",null,"2015-02-07 00:00:00"
"97e1fe7c-d8c9-1004-8a97-438cca05a146",null,"H1460","77",null,"2015-02-07 00:00:00"
"97e1fe7c-d8c9-1004-8a97-438cca05a146",null,"H1460","79",null,"2015-02-07 00:00:00"
"97e1fe7c-d8c9-1004-8a97-438cca05a146",null,"H1460","285",null,"2015-02-07 00:00:00"
"97e2e940-d8c9-1004-8a97-438cca05a146",null,"H1459","77",null,"2015-02-07 00:00:00"
"97e2e940-d8c9-1004-8a97-438cca05a146",null,"H1459","79",null,"2015-02-07 00:00:00"
"97e2e940-d8c9-1004-8a97-438cca05a146",null,"H1459","285",null,"2015-02-07 00:00:00"
"97e3d3a0-d8c9-1004-8a97-438cca05a146",null,"H1458","77",null,"2015-02-07 00:00:00"
"97e3d3a0-d8c9-1004-8a97-438cca05a146",null,"H1458","79",null,"2015-02-07 00:00:00"
"97e496f0-d8c9-1004-8a97-438cca05a146",null,"H1457","77",null,"2015-02-07 00:00:00"
"97e496f0-d8c9-1004-8a97-438cca05a146",null,"H1457","79",null,"2015-02-07 00:00:00"
"97e5a860-d8c9-1004-8a97-438cca05a146",null,"H1456","77",null,"2015-02-07 00:00:00"
"97e5a860-d8c9-1004-8a97-438cca05a146",null,"H1456","79",null,"2015-02-07 00:00:00"
"97e5a860-d8c9-1004-8a97-438cca05a146",null,"H1456","283",null,"2015-02-07 00:00:00"
"97e6e0e0-d8c9-1004-8a97-438cca05a146",null,"H1455","77",null,"2015-02-07 00:00:00"
"97e6e0e0-d8c9-1004-8a97-438cca05a146",null,"H1455","79",null,"2015-02-07 00:00:00"
"97e7cb40-d8c9-1004-8a97-438cca05a146",null,"H1454","77",null,"2015-02-07 00:00:00"
"97e7cb40-d8c9-1004-8a97-438cca05a146",null,"H1454","79",null,"2015-02-07 00:00:00"
"97e7cb40-d8c9-1004-8a97-438cca05a146",null,"H1454","283",null,"2015-02-07 00:00:00"
"97e8dcb0-d8c9-1004-8a97-438cca05a146",null,"H1453","77",null,"2015-02-07 00:00:00"
"97e8dcb0-d8c9-1004-8a97-438cca05a146",null,"H1453","79",null,"2015-02-07 00:00:00"
"97e8dcb0-d8c9-1004-8a97-438cca05a146",null,"H1453","283",null,"2015-02-07 00:00:00"
"97ea3c40-d8c9-1004-8a97-438cca05a146",null,"H1452","77",null,"2015-02-07 00:00:00"
"97ea3c40-d8c9-1004-8a97-438cca05a146",null,"H1452","79",null,"2015-02-07 00:00:00"
"97ea3c40-d8c9-1004-8a97-438cca05a146",null,"H1452","283",null,"2015-02-07 00:00:00"
"97eb26a0-d8c9-1004-8a97-438cca05a146",null,"H1421","77",null,"2015-02-07 00:00:00"
"97eb26a0-d8c9-1004-8a97-438cca05a146",null,"H1421","79",null,"2015-02-07 00:00:00"
"97ebe9f0-d8c9-1004-8a97-438cca05a146",null,"H1364","10",null,"2015-02-07 00:00:00"
"97ebe9f0-d8c9-1004-8a97-438cca05a146",null,"H1364","22",null,"2015-02-07 00:00:00"
"97ed2270-d8c9-1004-8a97-438cca05a146",null,"H1365","77",null,"2015-02-07 00:00:00"
"97ed2270-d8c9-1004-8a97-438cca05a146",null,"H1365","79",null,"2015-02-07 00:00:00"
"97ee5af0-d8c9-1004-8a97-438cca05a146",null,"H1345","77",null,"2015-02-07 00:00:00"
"97ee5af0-d8c9-1004-8a97-438cca05a146",null,"H1345","79",null,"2015-02-07 00:00:00"
"97ee5af0-d8c9-1004-8a97-438cca05a146",null,"H1345","285",null,"2015-02-07 00:00:00"
