"clistingid","csku","cimageurl","clabel","iorder","bthumbnail","bsmallimage","bbaseimage"
"965999c0-d8c9-1004-8a97-438cca05a146","F997RP","http://www.tomtop.com/media/catalog/product/1/2/12494661213_3.jpg",null,"4","t","t","t"
"965999c0-d8c9-1004-8a97-438cca05a146","F997RP","http://www.tomtop.com/media/catalog/product/1/2/12494661214_3.jpg",null,"5","t","t","t"
"965999c0-d8c9-1004-8a97-438cca05a146","F997RP","http://www.tomtop.com/media/catalog/product/1/2/12494661215_3.jpg",null,"6","t","t","t"
"965ab0a8-d8c9-1004-8a97-438cca05a146","F997R","http://www.tomtop.com/media/catalog/product/1/2/12494615870_3.jpg",null,"1","t","t","t"
"965ab0a8-d8c9-1004-8a97-438cca05a146","F997R","http://www.tomtop.com/media/catalog/product/1/2/12494615871_3.jpg",null,"2","t","t","t"
"965ab0a8-d8c9-1004-8a97-438cca05a146","F997R","http://www.tomtop.com/media/catalog/product/1/2/12494615872_3.jpg",null,"3","t","t","t"
"965ab0a8-d8c9-1004-8a97-438cca05a146","F997R","http://www.tomtop.com/media/catalog/product/1/2/12494615873_3.jpg",null,"4","t","t","t"
"965ab0a8-d8c9-1004-8a97-438cca05a146","F997R","http://www.tomtop.com/media/catalog/product/1/2/12494615874_3.jpg",null,"5","t","t","t"
"965bd85c-d8c9-1004-8a97-438cca05a146","F997LY","http://www.tomtop.com/media/catalog/product/1/2/12494611420_3.jpg",null,"1","t","t","t"
"965bd85c-d8c9-1004-8a97-438cca05a146","F997LY","http://www.tomtop.com/media/catalog/product/1/2/12494611421_3.jpg",null,"2","t","t","t"
"965bd85c-d8c9-1004-8a97-438cca05a146","F997LY","http://www.tomtop.com/media/catalog/product/1/2/12494611422_3.jpg",null,"3","t","t","t"
"965bd85c-d8c9-1004-8a97-438cca05a146","F997LY","http://www.tomtop.com/media/catalog/product/1/2/12494611423_3.jpg",null,"4","t","t","t"
"965bd85c-d8c9-1004-8a97-438cca05a146","F997LY","http://www.tomtop.com/media/catalog/product/1/2/12494611424_3.jpg",null,"5","t","t","t"
"965ce260-d8c9-1004-8a97-438cca05a146","F997B","http://www.tomtop.com/media/catalog/product/1/2/12494610130_3.jpg",null,"1","t","t","t"
"965ce260-d8c9-1004-8a97-438cca05a146","F997B","http://www.tomtop.com/media/catalog/product/1/2/12494610131_3.jpg",null,"2","t","t","t"
"965ce260-d8c9-1004-8a97-438cca05a146","F997B","http://www.tomtop.com/media/catalog/product/1/2/12494610132_3.jpg",null,"3","t","t","t"
"965ce260-d8c9-1004-8a97-438cca05a146","F997B","http://www.tomtop.com/media/catalog/product/1/2/12494610133_3.jpg",null,"4","t","t","t"
"965ce260-d8c9-1004-8a97-438cca05a146","F997B","http://www.tomtop.com/media/catalog/product/1/2/12494610134_3.jpg",null,"5","t","t","t"
"965ce260-d8c9-1004-8a97-438cca05a146","F997B","http://www.tomtop.com/media/catalog/product/1/2/12494610135_3.jpg",null,"6","t","t","t"
"965d8094-d8c9-1004-8a97-438cca05a146","F996Y","http://www.tomtop.com/media/catalog/product/1/2/12494597210_3.jpg",null,"1","t","t","t"
"965d8094-d8c9-1004-8a97-438cca05a146","F996Y","http://www.tomtop.com/media/catalog/product/1/2/12494597211_3.jpg",null,"2","t","t","t"
"965d8094-d8c9-1004-8a97-438cca05a146","F996Y","http://www.tomtop.com/media/catalog/product/1/2/12494597212_3.jpg",null,"3","t","t","t"
"965d8094-d8c9-1004-8a97-438cca05a146","F996Y","http://www.tomtop.com/media/catalog/product/1/2/12494597213_3.jpg",null,"4","t","t","t"
"965e3e6c-d8c9-1004-8a97-438cca05a146","F996W","http://www.tomtop.com/media/catalog/product/1/2/12494596090_3.jpg",null,"1","t","t","t"
"965e3e6c-d8c9-1004-8a97-438cca05a146","F996W","http://www.tomtop.com/media/catalog/product/1/2/12494596091_3.jpg",null,"2","t","t","t"
"965e3e6c-d8c9-1004-8a97-438cca05a146","F996W","http://www.tomtop.com/media/catalog/product/1/2/12494596092_3.jpg",null,"3","t","t","t"
"965e3e6c-d8c9-1004-8a97-438cca05a146","F996W","http://www.tomtop.com/media/catalog/product/1/2/12494596093_3.jpg",null,"4","t","t","t"
