clistingid,iwebsiteid,csku,istatus,cvideoaddress,iqty,fprice,fcostprice,fweight,bmultiattribute,cparentsku,bvisible,bpulish
5dd0c318-d986-1004-8e0c-b321d9e0c5c1,1,W490,1,,10000,4.44,1.5808,73,f,,t,t
00c47e38-d914-1004-874c-d371c9ab96c0,1,G0051GR,1,,2,17.93,6.46,522,f,,t,t
93ccd6e8-d984-1004-8136-a12200f6b65b,1,D2462,1,,10000,100.14,58.8996,969,f,,t,t
4910f1b4-d986-1004-8e0c-b321d9e0c5c1,1,L0371,1,,10000,7.17,3.7584,94,f,,t,t
484908c0-d986-1004-8e0c-b321d9e0c5c1,1,L0364,1,,10000,6.18,3.1131,52,f,,t,t
04616157-d914-1004-874c-d371c9ab96c0,1,H1809,1,,2,12.65,6.95,190,f,,t,t
00703478-d914-1004-874c-d371c9ab96c0,1,I455,1,,1000,2.48,0.7259,22,f,I455,t,t
98fa37c8-d984-1004-8136-a12200f6b65b,1,K1573BL,1,,10000,3.21,1.2927,19,t,K1573,t,t
0cc194ee-d914-1004-874c-d371c9ab96c0,1,H2099,1,,5,9.06,4.04,130,f,,t,t
9c9d5ecc-d953-1004-8d69-5a85bd8eaccc,1,L0301,1,,10000,36.56,21.0339,1246,f,,t,t
986d600e-d941-1004-8d00-f7eee594cf91,1,I177,1,,1,5.41,2.42,42,f,,t,t
00a1fa65-d914-1004-874c-d371c9ab96c0,1,D1768,1,,1000,10.99,6.95,27,f,,t,t
9bff89b4-d984-1004-8136-a12200f6b65b,1,W325-01,1,,10000,2.53,0.7272,24,t,W325,t,t
d4faa895-d929-1004-835b-90389054983d,1,V515B,1,,1,46.975,25.85,905,t,V515,t,t
5d83d620-d986-1004-8e0c-b321d9e0c5c1,1,H14111,1,,10000,1.69,0.0742,26,f,,t,t
d4e3e478-d929-1004-835b-90389054983d,1,G0279B-L,1,,10,14.928,7.59,320,t,G0279,t,t
5e98b378-d986-1004-8e0c-b321d9e0c5c1,1,W789,1,,10000,3.37,1.2259,35,f,,t,t
ca49d9a1-d92f-1004-8e79-5d7e63ca983b,1,G0222CA-M,1,,11,12.731,6.14,322,t,G0222,t,t
d4a3c59c-d929-1004-835b-90389054983d,1,S198,1,,1,100.00,20.00,30,t,,t,t
